a	オングストローム
in	インチ|中に|内側に|中へ|内部に
be	ベリリウム|ではある|である|でご座る|で御座る
on	先へ|前へ|動いている|作動している|稼働している
by	通り越して|通り過ぎて
or	オレゴン州|オレゴン|ビーバーの州|手術室
have	金持ち|富者|長者|富豪|有する|持つ|有す|持っている
as	ヒ素|アメリカ領サモア|同等|同じ程度に|同様|負けず劣らず|等しく|斉しく
at	アスタチン|アット
all	ふつに|完膚無き迄に|掻暮|みっちり|まんざら|すっかり|丸っ切り|ずぶ|ぷっつり|丸きし
can	缶|缶詰にする
new	つい最近|ほやほや|新しく|こと新しい|目新しい|新奇|耳あたらしい|初|初々しげ|新規|斬新|新式|耳新しい
more	モア|トマス・モア|いやが上にも|一倍|層一層|もっと|より|ぐっと|一層|一段と
use	使い|使用|利用|活用|役だてる|役する|働かせる|使う|使用|利する|運用|働かす|利用|用いる
do	どかん|ド|溶存酸素|為す|やる|致す|行ずる|行なう|行う|やらかす|する|為る
will	意力|意志|運命づける|決意する|命ずる
home	棲家|家|住処|棲み家|住まい|わが家へ
page	ページ|ペイジ|給仕
about	ざっと|略|かれこれ|ほぼ|ほとんど|近くに|先ず|無慮|おおよそ|粗々
time	時|とき|回|折|度|計時
search	漁り|捜査|探索|捜索|探求|捜し求める|捜す|探しもとめる|探し求める|探し回る|捜索|さがし回る|探る|捜しもとめる|探しまわる
other	他し|別
he	ヘリウム|He
site	場所|敷地|敷き地|料地|サイト|立地|用地|配す|配置|配する|置く
one	１|一|ワン|壱
free	自由民|ダラダラ|だらだら|ゆるく|自由に|随意|フリー|自由|任意|とき放す|解きはなつ|解放す|追い放つ|解き離す|放免|とき放つ|逃がす|解きはなす|追い放す
but	啻に|ただ|独り|僅僅|ひとり|一人|高々|只々|唯々|たった
no	否|ノー|不
information	報|通信|一報|弘報|消息|便り|廣報|インフォーメーション|インフォーメーシオン|インフォメーション
make	銘柄|ジャンル|型|種類|為す|やる|致す|行ずる|行なう|行う|やらかす|する|為る
post	立ち位置|立場|持ち場|駐屯所|屯所|軍隊駐屯地|ポスト|地位|身分|位地|立場|ポジション|役職|張出す|張り出す|掲示|貼り出す|かかげる|張出す|張り出す|掲示|貼り出す|掲げる
get	得る
up	上方へ|上向きに|引き上げる
see	ご覧になる|見取る|拝観|ご覧なさる|観る|拝覧|見て取る|視る|みる|見る
list	インベントリー|一覧|品書き|表|インベントリ|目録|リスト|カタログ|名鑑|品書|挙げる|羅列|列記|列挙
may	五月
price	必要経費|要脚|値|定価|買値|買い値|勘定|相場|入り|経費|値打ち
year	歳次|年|年中|年度|年間|年歳|年次|一年|歳
find	発見|突破口|大発見|ディスカバリー|ブレイクスルー|ブレークスルー|大きな進歩|発見|遭逢|見付ける|めぐり合う|発見|目っける|見出す|見附る|出くわす|見いだす|出っ交す
news	声息|報|消息|便り|沙汰|知らせ|情報|新報|音さた|音信
state	ステート|ステイト|省|州|洲|発語|申述べる|申し上げる|おっしゃる|陳じる|仰っしゃる|仰る|曰う|物語る|申しあげる
day	太陽日|平均太陽日|日|一日
out	アウト|外出して|不在で|現れる
view	ビュー|立場|パースペクティブ|見方|パースペクティヴ|態度|観点|見様|視野|見地|考える|思う|惟う
go	番|順番|当番|アダム|試み|試し|囲碁|碁|動く|行く|参る
any	なんらか|いくらか|何等か|少しは|何らか
work	ワーク|仕事|作業|労働|勤労|立ち働く|働く
there	それ|そこ|そこに|あそこで
contact	コンタクト|接触|コンタクトを取る|連絡
help	お手伝い|力ぞえ|補助|輔佐|人手|助けること|ヘルプ|お助け|応援|補佐|お手伝い|力ぞえ|補助|扶ける|輔佐|助く|世話|手伝う|荷担|誘掖
business	企業|エンタープライズ|会社|会社組織
review	再評価|再吟味|見直し|見直|再調|調べ直す|再審|再検|見直す|再検討|再吟味|再検査|見直し|見直
so	ソ|其れは|然許り|其は|其は其は|じつに|其れは其れは|格段に|然許|実に|如何にも
only	啻に|ただ|独り|僅僅|ひとり|一人|高々|只々|唯々|たった|単一|唯一無二
here	ここ|此に|此処に|是に|爰に|茲に
web	同坐|同座|羽弁|羽板
system	システム|系統|体系|ユニット
also	併せて|剰え|かつ|あわせて|尚又|かてて加えて|亦|糅てて加えて|加えて|且つ
now	現下|現在|即今|ただいま|只今|今|刻下|現今|現時点|目下|今にして|今や|今|今では
online	オンラインの
date	日づけ|日付け|日にち|日付|日|デート|日付印
first	1番|ぴか一|１番|一等|随一|一級|真っ先|一番|ナンバーワン|いの一番|最初に|何はさておき|とりあえず|先ず|先ず以て|取敢ず|一番|何は扨措き|取りあえず|取敢えず|初|第一
good	利巧|利益|利得|悧巧|益|ため|好う|善う|良く|良う|克く|旨く|善く|よく|好く|能く|巧い|好い|好ましい|旨い|ハラショー|宜しい|いい|良質|良好|美味い
name	呼称|外題|人名|名まえ|姓名|見目|題名|名|名目|物名|と呼ぶ|銘うつ|命名|名づける|名付ける|称える|呼ぶ
hotel	客亭|御宿|客舎|宿舎|人宿|旅店|泊まり|旅宿|ホテル|宿
click	カチッ
add	注意力不足活動過多症|プラス|添加|付加|足し加える|増す|併せる|つけ足す|足す|足加える|つけ加える
take	取れ高|売り上げ金|産出高|売りあげ|利益|売上高|売上|上り|売上げ高|上がり|テイク|為す|行なう|行う|為る
like	同種|同類|仲間|同じ様|近い|類同|同じよう|似ている|相似的|類似的|同様|欲しがる|希望|願望|欲する|好き好む|念ずる|好む|愛す|愛する|求める
service	サービス|サーヴィス|使われる
need	闕乏|要求|要用|デマンド|入用|希求|冀求|入り用|ニード|必要|要求|求める|要する
member	隊員|成員|顔触れ|メンバー|団員|顔ぶれ|組員|部員
x	１０|テン|拾|什|十|アダム
provide	給する|供給|提供|用意|支給|給付
back	背部|背|後ろ|後|背中|脊|帰って|元の場所に|支持
program	プラン|目論|計画|プログラム|目論見|目論み|計図|計|企て|企画|段取り
buy	バーゲン|買い得|掘り出し物|引き合い|買い上げる|買いつける|買求める|召す|買取り|買収|買いあげる|買いもとめる|買上げる|買い入れる
top	頭|上部|トップ|勝る|優る|超越|優れる|剋する|超絶|超す|凌ぐ|超える|越す
message	メッセイジ|メッセージ
report	学術論文|学報|報告書|レポート|紀要|リポート|陳じる|書きあらわす|説明|書表わす|語る|書き表す|書き表わす|陳ずる|述べる|書表す
people	諸人|ピープル|人々|人達|人びと|衆人|衆
high	高値|高々|高だか|でかい|おっきい|高い|大きい|高級|高等|でっかい|高度
policy	施策|方策|政策|方針|たて前|建前|政綱|ポリシー
show	発表|演芸|見せ物|上演|披露|見世物|ショー|興行|発表|実演|出陳|上演|供覧|展覧|披露|陳列|出品|興行
support	補助|援護|お助け|サポート|扶助|助け|支援|援助|援護|後押し|後押|応援|励ます|後援|援助|助力|支持
user	利用者|使用者|ユーザー|遣い手|使手|遣手|使い手|ユーザ
school	学園|学校|スクール|学院|群がる
order	令|司令|下知|下命|沙汰|指令|命令|命|指顧|令する|命じる|申しつける|下知|命ずる|下命|言い付ける|言っつける|指示
know	ノウ|存知|存ずる|存じる|分かる|知る
just	啻に|ただ|独り|僅僅|ひとり|一人|高々|只々|唯々|たった|適正|正当|フェア|公正|正善|公明正大|まとも|良い|公明|正しい
video	画像|動画|絵|映像|ヴィデオ|録画媒体|映像媒体|ビデオ
email	Eメール|メール|電子郵便|Eメイル|電子メイル|メイル|電子メール|エレクトロニックメール|エレクトロニクメール|Eメール|メール|Eメイル|E-メール|メイル|E-メイル
shop	舗|店鋪|店舗|ストアー|ショップ|店屋|ストア|売店|販売店|商店|買い出し
store	舗|店鋪|店舗|ストアー|ショップ|店屋|ストア|売店|販売店|商店|貯える|取り置く|溜込む|貯留|蔵する|蓄積|たくわえる|溜めこむ|溜め込む|取りおく
group	集まり|集り|グループ
re	レニウム|レ|レ
city	市
world	万物|あめつち|万有|全ての存在|森羅万象|天地|コスモス|大宇宙|六合|コスモ|グローバル|世界的|ワールドワイド
company	企業|会社|公司|カンパニー|コンパニー|付添う|付く|付き添う
two	弐|両|２
health	健康|ヘルス|健全さ|健康さ
read	読物|読み物|紐解く|読む|読書|披見|書見|繙く|閲覧|拝誦|閲読|多読
last	ラスト|終わり|終局|仕舞い|お仕舞|最後|停止点|末期|お仕舞い|閉幕|最近|この前の|うち続く|持続|引続く|引きつづく|続く|存える|存続|永らえる|継続
next	次に
change	変易|変替|変更|遷移|模様替|変転|変わり様|遷り変わり|うつり変わり|遷り変り|入換える|手直し|変換える|修正|入れ換える|変更|模様替|改む|換える|異ならす
most	極|極く|最も
music	笛竹|楽|ミュージック|音楽
forum	討論会|フォラム|フォーラム|フォーラムディスカッション|フォーラム
file	ファイル|データファイル|登録|登記
set	ひとまとまり|組み|揃い|ひとそろい|一式|揃え|一揃え|揃|セット|組|置く
datum	資料|データ
part	一部分|ポーション|構成物|要素|コンポーネント|部分|一部|構成要素|コンポ|パート|ある程度|一部分は|稍|部分的
rate	歩合|割合|率|位置付|序列づける|位置付け|序列付ける|評する|格付|評価|位取り|位置付ける|ランク
look	面様|形相|顔色|相形|面持ち|面差し|顏|顔の表情|顔付き|面差|ご覧になる|目する|ご覧なさる|視る|眺める|御覧なさる|見る|御覧になる|見つめる|拝見
product	プロダクト|売り物
map	軍用地図|マップ|地図|絵図|輿図
please	悦ばせる|喜ばす|悦ばす|喜ばせる|楽します
photo	フォトグラフ|映|ブロマイド|フォト|プロマイド|画像|映し絵|光画|ピクチャー|影像
give	伸縮性|弾力性
design	考案|設計|ディザイン|デシネ|立案|企て|意匠|デザイン|構想|企む|謀る|策する|仕組む|計画|巧む|企てる|策す|図る|企らむ
include	含有|含む|内包|包含|包容|包蔵
great	ど偉い|巨なる|おっきい|大-|巨い|どえらい|大きい
copyright	著作権|複製権|出版権|版権|コピーライト|板株
area	地区|一郭|地域|一画|一廓|ゾーン|地方|領域|エリア|エリヤ
such	此程|斯く迄|斯くも|じつに|是程|格段に|斯くまで|実に|是れ程|此れほど
call	呼び出し|架電|コール|呼出し|通話|呼出|と呼ぶ|銘うつ|命名|名づける|名付ける|称える|呼ぶ
available	有用|使用可能|利用できる|発売中|入手可能|役立つ
write	起稿|書きおろす|書きつづる|著作|書き下ろす|書き下す|記す|書きあらわす|書表わす|起案
mail	郵便|メール|郵書|郵便物|メイル|郵便|郵送|逓送
